#{"t_start": 1684148938.808727, "env_id": "FoRLCartPole-v0"}
r,l,t
21.0,21,0.114536
25.0,25,0.200277
31.0,31,0.298437
10.0,10,0.326217
42.0,42,0.446797
33.0,33,0.539698
25.0,25,0.617981
26.0,26,0.692042
35.0,35,0.787652
48.0,48,0.911028
20.0,20,0.955757
65.0,65,1.113509
31.0,31,1.17728
50.0,50,1.28939
152.0,152,1.650902
79.0,79,1.85543
112.0,112,2.116437
102.0,102,2.382252
200.0,200,2.841631
200.0,200,3.306358
113.0,113,3.5535
200.0,200,4.015645
200.0,200,4.473838
200.0,200,4.996945
200.0,200,5.44342
164.0,164,5.825007
200.0,200,6.279043
200.0,200,6.741127
192.0,192,7.198199
200.0,200,8.305838
200.0,200,8.783712
200.0,200,9.234467
191.0,191,9.685727
200.0,200,10.155831
200.0,200,10.589716
165.0,165,10.959355
190.0,190,11.387242
131.0,131,11.692644
127.0,127,11.978595
125.0,125,12.248808
55.0,55,12.375896
113.0,113,12.621058
26.0,26,12.683864
102.0,102,12.916959
91.0,91,13.113789
55.0,55,13.230277
42.0,42,13.325398
87.0,87,13.517785
59.0,59,13.640203
82.0,82,13.829829
103.0,103,14.06908
14.0,14,14.105579
62.0,62,14.27789
124.0,124,14.568557
76.0,76,14.755099
152.0,152,15.100556
200.0,200,16.096052
200.0,200,16.559048
114.0,114,16.81963
175.0,175,17.204318
200.0,200,17.641197
200.0,200,18.096369
200.0,200,18.533041
200.0,200,18.994276
200.0,200,19.441818
200.0,200,19.899359
181.0,181,20.292046
37.0,37,20.371604
60.0,60,20.500943
200.0,200,20.945516
200.0,200,21.396198
200.0,200,21.84151
200.0,200,22.277092
200.0,200,22.736211
200.0,200,23.837224
158.0,158,24.212669
200.0,200,24.664288
104.0,104,24.902305
200.0,200,25.360602
134.0,134,25.701639
200.0,200,26.16284
200.0,200,26.615685
200.0,200,27.056207
200.0,200,27.511309
200.0,200,27.977205
200.0,200,28.42479
200.0,200,28.861407
200.0,200,29.314121
200.0,200,29.760278
200.0,200,30.216462
200.0,200,31.307719
200.0,200,31.793425
200.0,200,32.246658
200.0,200,32.718952
200.0,200,33.171934
200.0,200,33.624026
200.0,200,34.062768
200.0,200,34.510498
200.0,200,34.969305
200.0,200,35.435143
200.0,200,35.904258
200.0,200,36.361915
200.0,200,36.80817
200.0,200,37.277924
200.0,200,37.748123
200.0,200,38.202827
200.0,200,39.275304
200.0,200,39.727381
200.0,200,40.202229
200.0,200,40.640705
200.0,200,41.083294
200.0,200,41.521263
200.0,200,42.007819
200.0,200,42.475761
200.0,200,42.936612
200.0,200,43.383296
200.0,200,43.835171
200.0,200,44.284945
157.0,157,44.671279
119.0,119,44.939703
153.0,153,45.28722
200.0,200,45.72467
200.0,200,46.168154
194.0,194,47.298768
100.0,100,47.523711
71.0,71,47.682406
69.0,69,47.832548
56.0,56,47.960148
61.0,61,48.112468
51.0,51,48.225062
47.0,47,48.325401
50.0,50,48.435007
26.0,26,48.490496
33.0,33,48.558688
42.0,42,48.649768
38.0,38,48.735386
28.0,28,48.799205
36.0,36,48.876542
32.0,32,48.960646
35.0,35,49.041828
26.0,26,49.097742
29.0,29,49.167788
27.0,27,49.232815
36.0,36,49.310423
44.0,44,49.411573
32.0,32,49.482966
29.0,29,49.551115
41.0,41,49.65085
29.0,29,49.719852
33.0,33,49.79334
25.0,25,49.851066
