#{"t_start": 1684148938.818821, "env_id": "FoRLCartPole-v0"}
r,l,t
22.0,22,0.106569
25.0,25,0.191872
17.0,17,0.237384
26.0,26,0.32208
9.0,9,0.353437
69.0,69,0.543768
16.0,16,0.59285
14.0,14,0.638546
11.0,11,0.668697
25.0,25,0.739079
21.0,21,0.795099
36.0,36,0.889183
15.0,15,0.924061
30.0,30,0.995178
35.0,35,1.073997
15.0,15,1.114671
28.0,28,1.169502
19.0,19,1.217016
29.0,29,1.279488
46.0,46,1.382256
48.0,48,1.496328
74.0,74,1.681106
11.0,11,1.71364
21.0,21,1.765454
197.0,197,2.254119
54.0,54,2.383545
182.0,182,2.802549
130.0,130,3.10217
109.0,109,3.350627
161.0,161,3.714901
200.0,200,4.175949
200.0,200,4.688377
200.0,200,5.157907
200.0,200,5.61458
200.0,200,6.062452
200.0,200,6.524956
200.0,200,6.989857
200.0,200,7.459329
200.0,200,8.583853
200.0,200,9.043659
200.0,200,9.510606
200.0,200,9.974995
200.0,200,10.423729
142.0,142,10.735838
200.0,200,11.182377
173.0,173,11.565481
145.0,145,11.913934
124.0,124,12.181413
32.0,32,12.257327
150.0,150,12.590379
108.0,108,12.831704
95.0,95,13.041731
50.0,50,13.147345
84.0,84,13.332946
98.0,98,13.545237
101.0,101,13.774933
64.0,64,13.922805
141.0,141,14.284594
200.0,200,14.75813
184.0,184,15.17701
193.0,193,16.158883
164.0,164,16.539337
200.0,200,16.988964
200.0,200,17.422181
144.0,144,17.74227
200.0,200,18.196052
200.0,200,18.647944
200.0,200,19.095864
200.0,200,19.548413
111.0,111,19.804605
174.0,174,20.183293
70.0,70,20.337967
54.0,54,20.457372
45.0,45,20.553996
200.0,200,20.998787
200.0,200,21.439055
200.0,200,21.895736
200.0,200,22.335217
200.0,200,22.784808
200.0,200,23.899376
200.0,200,24.361336
140.0,140,24.677865
72.0,72,24.836848
200.0,200,25.296258
174.0,174,25.729575
171.0,171,26.114263
200.0,200,26.575734
200.0,200,27.019892
200.0,200,27.464716
51.0,51,27.587233
200.0,200,28.055227
200.0,200,28.494815
200.0,200,28.93588
200.0,200,29.388089
200.0,200,29.833809
200.0,200,30.30509
200.0,200,31.389596
200.0,200,31.869459
200.0,200,32.323447
200.0,200,32.793676
200.0,200,33.246165
200.0,200,33.692444
200.0,200,34.129492
200.0,200,34.576156
200.0,200,35.042563
200.0,200,35.506497
200.0,200,35.977107
200.0,200,36.432619
200.0,200,36.880578
200.0,200,37.360256
200.0,200,37.824708
200.0,200,38.269153
200.0,200,39.351486
200.0,200,39.810018
200.0,200,40.27686
200.0,200,40.710198
200.0,200,41.156333
200.0,200,41.592078
200.0,200,42.085099
200.0,200,42.549015
200.0,200,43.009548
200.0,200,43.455373
200.0,200,43.903922
200.0,200,44.384571
143.0,143,44.709562
162.0,162,45.079796
192.0,192,45.514042
200.0,200,45.954019
200.0,200,47.090883
111.0,111,47.345064
108.0,108,47.583901
73.0,73,47.749469
