#{"t_start": 1684148938.8165662, "env_id": "FoRLCartPole-v0"}
r,l,t
17.0,17,0.094713
48.0,48,0.245772
19.0,19,0.308192
50.0,50,0.45483
27.0,27,0.53051
12.0,12,0.562721
16.0,16,0.614427
26.0,26,0.687567
29.0,29,0.769501
72.0,72,0.948103
19.0,19,0.989422
13.0,13,1.0255
27.0,27,1.085577
36.0,36,1.168267
31.0,31,1.242287
17.0,17,1.27428
20.0,20,1.325621
20.0,20,1.366281
25.0,25,1.420241
97.0,97,1.666472
63.0,63,1.821138
190.0,190,2.291351
173.0,173,2.69531
111.0,111,2.944703
179.0,179,3.360388
200.0,200,3.818916
200.0,200,4.277614
200.0,200,4.794736
200.0,200,5.252128
195.0,195,5.701905
200.0,200,6.154335
134.0,134,6.465671
200.0,200,6.926605
200.0,200,7.397717
200.0,200,8.518269
200.0,200,8.982485
200.0,200,9.449813
200.0,200,9.909787
200.0,200,10.373722
200.0,200,10.809028
183.0,183,11.211471
180.0,180,11.624306
132.0,132,11.933598
147.0,147,12.248983
103.0,103,12.485066
28.0,28,12.545014
54.0,54,12.661829
76.0,76,12.833836
86.0,86,13.020787
75.0,75,13.18392
106.0,106,13.42175
49.0,49,13.524575
37.0,37,13.610572
36.0,36,13.691204
170.0,170,14.083583
182.0,182,14.538388
171.0,171,14.944072
144.0,144,15.263832
126.0,126,16.098099
74.0,74,16.271709
93.0,93,16.489436
180.0,180,16.892879
113.0,113,17.143615
200.0,200,17.576628
200.0,200,18.028273
149.0,149,18.358211
200.0,200,18.816803
200.0,200,19.254039
200.0,200,19.718439
121.0,121,19.986131
156.0,156,20.328578
63.0,63,20.463977
97.0,97,20.677781
200.0,200,21.125156
200.0,200,21.565847
200.0,200,22.02218
200.0,200,22.458834
200.0,200,23.561342
200.0,200,24.024322
200.0,200,24.491114
200.0,200,24.939489
200.0,200,25.394454
149.0,149,25.772701
200.0,200,26.234019
200.0,200,26.689801
200.0,200,27.126396
200.0,200,27.582394
200.0,200,28.053204
200.0,200,28.493151
200.0,200,28.933772
200.0,200,29.385112
200.0,200,29.831877
200.0,200,30.302232
200.0,200,31.387618
200.0,200,31.866374
200.0,200,32.321624
200.0,200,32.790347
200.0,200,33.243795
200.0,200,33.690915
200.0,200,34.12798
200.0,200,34.574791
200.0,200,35.041052
200.0,200,35.504905
200.0,200,35.975633
200.0,200,36.429972
200.0,200,36.879021
200.0,200,37.354852
200.0,200,37.823116
200.0,200,38.267862
200.0,200,39.349733
200.0,200,39.808394
200.0,200,40.274856
200.0,200,40.708745
200.0,200,41.154901
200.0,200,41.590867
200.0,200,42.082737
200.0,200,42.545625
200.0,200,43.008
200.0,200,43.453839
200.0,200,43.901237
189.0,189,44.356578
180.0,180,44.769171
126.0,126,45.055614
200.0,200,45.505065
200.0,200,45.946158
200.0,200,47.080436
139.0,139,47.395307
99.0,99,47.614437
85.0,85,47.80582
44.0,44,47.906003
40.0,40,48.000358
63.0,63,48.144977
28.0,28,48.209348
61.0,61,48.339714
57.0,57,48.467362
48.0,48,48.566986
48.0,48,48.672574
38.0,38,48.756101
27.0,27,48.818981
38.0,38,48.9132
17.0,17,48.951643
42.0,42,49.045347
34.0,34,49.125647
36.0,36,49.20795
28.0,28,49.270559
24.0,24,49.327136
35.0,35,49.405138
28.0,28,49.46737
28.0,28,49.533967
33.0,33,49.612139
60.0,60,49.758927
25.0,25,49.814316
60.0,60,49.950444
54.0,54,50.065877
49.0,49,50.180848
42.0,42,50.280911
41.0,41,50.372731
73.0,73,50.522495
107.0,107,50.76862
73.0,73,50.931318
64.0,64,51.078427
72.0,72,51.245858
39.0,39,51.335328
113.0,113,51.595362
154.0,154,51.95306
91.0,91,52.152369
37.0,37,52.232468
55.0,55,52.351275
53.0,53,52.540246
92.0,92,52.764465
66.0,66,52.922564
83.0,83,53.113576
106.0,106,53.353366
100.0,100,53.5934
156.0,156,54.023857
200.0,200,55.037365
146.0,146,55.367169
109.0,109,55.609702
200.0,200,56.058288
173.0,173,56.449821
200.0,200,56.909599
200.0,200,57.345469
200.0,200,57.790947
200.0,200,58.290388
200.0,200,58.756258
200.0,200,59.196127
200.0,200,59.650093
200.0,200,60.098154
200.0,200,60.587119
200.0,200,61.134999
200.0,200,61.623715
200.0,200,62.708811
200.0,200,63.160231
200.0,200,63.606126
200.0,200,64.041909
200.0,200,64.481847
200.0,200,64.936997
200.0,200,65.398479
200.0,200,65.872545
200.0,200,66.313545
200.0,200,66.762682
200.0,200,67.210701
200.0,200,67.717194
200.0,200,68.177165
200.0,200,68.638202
200.0,200,69.081325
200.0,200,69.53034
200.0,200,70.66435
200.0,200,71.098063
200.0,200,71.542825
200.0,200,71.997969
200.0,200,72.454774
200.0,200,72.925877
200.0,200,73.363485
200.0,200,73.802206
200.0,200,74.241651
200.0,200,74.717623
200.0,200,75.167568
200.0,200,75.636987
200.0,200,76.092304
200.0,200,76.529444
200.0,200,76.998553
200.0,200,78.057969
200.0,200,78.511425
200.0,200,78.945662
200.0,200,79.459549
200.0,200,79.928544
200.0,200,80.391593
200.0,200,80.845964
200.0,200,81.284031
200.0,200,81.751773
200.0,200,82.19165
200.0,200,82.641176
200.0,200,83.104196
200.0,200,83.566073
200.0,200,84.036221
200.0,200,84.48364
200.0,200,84.936983
200.0,200,86.049945
200.0,200,86.525207
200.0,200,86.997594
200.0,200,87.44945
200.0,200,87.890492
200.0,200,88.334344
200.0,200,88.846221
200.0,200,89.29005
200.0,200,89.784098
200.0,200,90.220827
200.0,200,90.686422
200.0,200,91.16235
200.0,200,91.628083
200.0,200,92.089612
200.0,200,92.544141
200.0,200,92.995274
200.0,200,94.111688
200.0,200,94.573846
200.0,200,95.027564
200.0,200,95.492068
200.0,200,95.973999
200.0,200,96.445226
200.0,200,96.914706
200.0,200,97.548862
200.0,200,98.140046
200.0,200,98.682504
200.0,200,99.156787
200.0,200,99.616752
200.0,200,100.119387
200.0,200,100.600797
200.0,200,101.058487
200.0,200,102.183314
200.0,200,102.707857
200.0,200,103.180049
200.0,200,103.626006
200.0,200,104.085629
