#{"t_start": 1684148938.8271773, "env_id": "FoRLCartPole-v0"}
r,l,t
200.0,200,106.660366
200.0,200,107.142762
200.0,200,107.615931
200.0,200,108.074427
200.0,200,108.509149
200.0,200,108.965849
200.0,200,110.089547
200.0,200,110.573711
200.0,200,111.017576
200.0,200,111.458688
200.0,200,111.939404
200.0,200,112.546909
200.0,200,113.222724
200.0,200,113.927019
200.0,200,114.461804
200.0,200,114.951451
200.0,200,115.415036
200.0,200,115.868762
200.0,200,116.367622
200.0,200,116.847479
200.0,200,117.306302
200.0,200,117.773072
200.0,200,118.907951
200.0,200,119.3653
200.0,200,119.822392
200.0,200,120.262756
200.0,200,120.70697
200.0,200,121.215341
200.0,200,121.739758
200.0,200,122.214288
200.0,200,122.676923
200.0,200,123.139631
200.0,200,123.593001
200.0,200,124.04224
200.0,200,124.504281
200.0,200,124.9479
200.0,200,125.393482
200.0,200,125.869828
200.0,200,127.010503
200.0,200,127.448793
200.0,200,127.964829
200.0,200,128.443509
200.0,200,128.890502
200.0,200,129.319817
200.0,200,129.779396
200.0,200,130.243551
200.0,200,130.697079
200.0,200,131.129285
200.0,200,131.575439
200.0,200,132.022055
200.0,200,132.479095
200.0,200,132.942326
200.0,200,133.385527
200.0,200,134.48805
200.0,200,134.963415
200.0,200,135.418354
200.0,200,135.865124
200.0,200,136.302178
200.0,200,136.755834
200.0,200,137.210825
200.0,200,137.698941
200.0,200,138.172655
200.0,200,138.628637
200.0,200,139.073495
200.0,200,139.534782
200.0,200,139.992634
200.0,200,140.433372
200.0,200,140.887598
200.0,200,141.330597
200.0,200,142.441588
200.0,200,142.887598
200.0,200,143.334107
200.0,200,143.782968
200.0,200,144.272047
200.0,200,144.739693
200.0,200,145.18346
200.0,200,145.632325
200.0,200,146.084715
200.0,200,146.541873
200.0,200,146.992245
200.0,200,147.433327
200.0,200,147.879429
200.0,200,148.318891
200.0,200,148.785448
200.0,200,149.86568
200.0,200,150.342262
200.0,200,150.801974
200.0,200,151.257813
200.0,200,151.697977
200.0,200,152.145987
200.0,200,152.577097
200.0,200,153.029333
200.0,200,153.520609
200.0,200,154.129447
200.0,200,154.672708
200.0,200,155.139364
200.0,200,155.651099
200.0,200,156.124647
200.0,200,156.572856
200.0,200,157.031727
