#{"t_start": 1684148938.8112392, "env_id": "FoRLCartPole-v0"}
r,l,t
13.0,13,0.087272
21.0,21,0.148396
17.0,17,0.212109
31.0,31,0.308494
19.0,19,0.370069
44.0,44,0.491061
17.0,17,0.537309
40.0,40,0.65577
20.0,20,0.716425
16.0,16,0.758603
13.0,13,0.797184
24.0,24,0.851666
42.0,42,0.954709
15.0,15,0.990907
33.0,33,1.066067
112.0,112,1.327951
32.0,32,1.391015
81.0,81,1.582151
19.0,19,1.63251
108.0,108,1.908232
159.0,159,2.303304
58.0,58,2.431995
141.0,141,2.762067
200.0,200,3.227206
200.0,200,3.67265
138.0,138,3.991059
200.0,200,4.457023
200.0,200,4.981037
200.0,200,5.428412
200.0,200,5.890935
200.0,200,6.349321
200.0,200,6.800258
200.0,200,7.284285
200.0,200,8.394624
200.0,200,8.863424
200.0,200,9.326867
200.0,200,9.790048
200.0,200,10.2573
200.0,200,10.691541
200.0,200,11.136043
154.0,154,11.486858
106.0,106,11.73615
85.0,85,11.930923
84.0,84,12.113644
111.0,111,12.360103
89.0,89,12.56005
100.0,100,12.781516
73.0,73,12.942117
94.0,94,13.144193
36.0,36,13.220852
97.0,97,13.437336
75.0,75,13.605024
76.0,76,13.770905
36.0,36,13.848071
108.0,108,14.112507
149.0,149,14.48669
185.0,185,14.928262
147.0,147,15.254448
103.0,103,16.025728
111.0,111,16.293585
131.0,131,16.593825
200.0,200,17.041832
192.0,192,17.453759
200.0,200,17.904696
200.0,200,18.348661
200.0,200,18.811865
200.0,200,19.249628
200.0,200,19.712356
62.0,62,19.85233
200.0,200,20.288141
44.0,44,20.385113
200.0,200,20.819709
200.0,200,21.277839
200.0,200,21.719627
148.0,148,22.048985
200.0,200,22.492315
200.0,200,23.594931
200.0,200,24.059052
198.0,198,24.518576
200.0,200,24.964576
88.0,88,25.16969
200.0,200,25.659802
65.0,65,25.804282
200.0,200,26.268433
200.0,200,26.722352
200.0,200,27.15698
200.0,200,27.622801
200.0,200,28.08414
200.0,200,28.526626
200.0,200,28.968529
200.0,200,29.417535
200.0,200,29.861344
200.0,200,30.336439
200.0,200,31.425363
200.0,200,31.899989
200.0,200,32.354299
200.0,200,32.82536
200.0,200,33.276101
200.0,200,33.725228
200.0,200,34.162854
200.0,200,34.608257
200.0,200,35.081333
200.0,200,35.536808
200.0,200,36.009615
200.0,200,36.463723
200.0,200,36.911258
200.0,200,37.394452
200.0,200,37.853684
200.0,200,38.304672
200.0,200,39.38167
200.0,200,39.843688
200.0,200,40.310515
200.0,200,40.741393
200.0,200,41.183263
200.0,200,41.64334
200.0,200,42.113403
200.0,200,42.587064
200.0,200,43.041481
200.0,200,43.488578
200.0,200,43.935039
200.0,200,44.415993
200.0,200,44.874594
173.0,173,45.270542
200.0,200,45.709438
200.0,200,46.154107
170.0,170,47.228097
118.0,118,47.497504
78.0,78,47.666682
82.0,82,47.850329
53.0,53,47.969115
68.0,68,48.13199
69.0,69,48.28505
67.0,67,48.43136
53.0,53,48.544693
36.0,36,48.624527
45.0,45,48.720237
58.0,58,48.847176
40.0,40,48.948698
43.0,43,49.048299
30.0,30,49.118721
19.0,19,49.16285
25.0,25,49.220603
22.0,22,49.266882
26.0,26,49.325023
28.0,28,49.38649
23.0,23,49.446671
32.0,32,49.514961
28.0,28,49.581329
30.0,30,49.658659
37.0,37,49.744446
35.0,35,49.822278
32.0,32,49.891354
44.0,44,49.991136
67.0,67,50.147167
53.0,53,50.266668
59.0,59,50.399267
59.0,59,50.524529
66.0,66,50.673914
91.0,91,50.880149
95.0,95,51.095229
55.0,55,51.21633
68.0,68,51.383906
59.0,59,51.519476
56.0,56,51.646584
48.0,48,51.760866
63.0,63,51.905586
55.0,55,52.026885
44.0,44,52.123351
72.0,72,52.278019
88.0,88,52.543964
148.0,148,52.902537
74.0,74,53.075589
120.0,120,53.343055
91.0,91,53.545369
141.0,141,53.941481
200.0,200,54.973393
80.0,80,55.155251
140.0,140,55.472867
140.0,140,55.780518
144.0,144,56.101995
200.0,200,56.559376
200.0,200,57.014598
200.0,200,57.454639
200.0,200,57.90519
94.0,94,58.11177
200.0,200,58.625267
200.0,200,59.072375
200.0,200,59.522494
200.0,200,59.968968
200.0,200,60.432056
200.0,200,60.994782
200.0,200,61.491989
200.0,200,61.954647
200.0,200,63.034532
200.0,200,63.471924
200.0,200,63.919765
200.0,200,64.352348
200.0,200,64.811169
200.0,200,65.270398
200.0,200,65.737615
200.0,200,66.190341
200.0,200,66.62767
200.0,200,67.077408
200.0,200,67.537516
200.0,200,68.047153
200.0,200,68.502119
200.0,200,68.953058
200.0,200,69.396141
200.0,200,70.530161
200.0,200,70.978721
200.0,200,71.417597
200.0,200,71.874441
200.0,200,72.32722
200.0,200,72.796683
200.0,200,73.235595
200.0,200,73.677562
200.0,200,74.110422
200.0,200,74.586745
