#{"t_start": 1684148938.8217082, "env_id": "FoRLCartPole-v0"}
r,l,t
25.0,25,0.108055
14.0,14,0.15671
26.0,26,0.240828
17.0,17,0.298626
56.0,56,0.461774
12.0,12,0.493141
37.0,37,0.60542
16.0,16,0.646706
11.0,11,0.680835
14.0,14,0.720397
11.0,11,0.749534
48.0,48,0.873795
40.0,40,0.964548
27.0,27,1.032908
67.0,67,1.186859
20.0,20,1.235841
32.0,32,1.307014
12.0,12,1.332578
40.0,40,1.416389
23.0,23,1.46962
38.0,38,1.56702
141.0,141,1.929055
89.0,89,2.141442
49.0,49,2.263037
108.0,108,2.513132
200.0,200,2.982992
200.0,200,3.437348
81.0,81,3.617911
200.0,200,4.079397
187.0,187,4.513441
200.0,200,5.034198
114.0,114,5.287073
200.0,200,5.742717
200.0,200,6.198486
200.0,200,6.659338
200.0,200,7.133564
200.0,200,8.233687
200.0,200,8.721132
200.0,200,9.169909
200.0,200,9.64175
200.0,200,10.105367
200.0,200,10.551231
107.0,107,10.793752
200.0,200,11.237956
141.0,141,11.551517
132.0,132,11.862591
38.0,38,11.953563
166.0,166,12.313816
91.0,91,12.516969
100.0,100,12.74002
92.0,92,12.953323
48.0,48,13.053471
28.0,28,13.110904
136.0,136,13.410181
107.0,107,13.641602
66.0,66,13.794184
116.0,116,14.067394
86.0,86,14.298012
105.0,105,14.543114
31.0,31,14.614139
147.0,147,14.961886
149.0,149,15.296297
112.0,112,16.095444
128.0,128,16.40075
142.0,142,16.720667
123.0,123,16.996642
200.0,200,17.427638
200.0,200,17.880354
200.0,200,18.316649
200.0,200,18.785527
200.0,200,19.224423
108.0,108,19.469189
178.0,178,19.872901
200.0,200,20.310385
200.0,200,20.750709
200.0,200,21.202316
200.0,200,21.63601
200.0,200,22.091198
200.0,200,22.538619
152.0,152,23.517889
200.0,200,23.990348
200.0,200,24.452236
52.0,52,24.575361
200.0,200,25.028517
200.0,200,25.472439
200.0,200,25.974387
176.0,176,26.378153
200.0,200,26.830048
200.0,200,27.271986
200.0,200,27.735995
200.0,200,28.187609
200.0,200,28.632257
200.0,200,29.080755
200.0,200,29.525024
200.0,200,29.971847
200.0,200,30.443643
200.0,200,31.544789
200.0,200,32.009058
200.0,200,32.472379
200.0,200,32.937327
200.0,200,33.381164
200.0,200,33.832918
200.0,200,34.26809
200.0,200,34.723367
200.0,200,35.193192
200.0,200,35.652098
200.0,200,36.123166
200.0,200,36.567789
200.0,200,37.012438
200.0,200,37.508203
200.0,200,37.967021
200.0,200,38.408725
200.0,200,39.485814
200.0,200,39.960649
200.0,200,40.4108
200.0,200,40.841032
200.0,200,41.29144
200.0,200,41.760253
200.0,200,42.229918
200.0,200,42.699069
200.0,200,43.146158
200.0,200,43.599432
200.0,200,44.040723
200.0,200,44.534124
159.0,159,44.894252
161.0,161,45.258331
174.0,174,45.637978
200.0,200,46.08774
181.0,181,47.181513
123.0,123,47.458116
81.0,81,47.640819
87.0,87,47.827881
78.0,78,48.013479
88.0,88,48.214437
44.0,44,48.310964
38.0,38,48.39859
61.0,61,48.525881
49.0,49,48.632688
38.0,38,48.713192
38.0,38,48.800829
42.0,42,48.898811
35.0,35,48.981036
28.0,28,49.047919
34.0,34,49.128045
36.0,36,49.210342
25.0,25,49.264122
29.0,29,49.33298
31.0,31,49.400177
25.0,25,49.458655
33.0,33,49.53138
26.0,26,49.590616
30.0,30,49.669968
38.0,38,49.757365
45.0,45,49.859708
49.0,49,49.969435
35.0,35,50.048044
64.0,64,50.19526
30.0,30,50.266713
31.0,31,50.333086
38.0,38,50.415007
36.0,36,50.495033
80.0,80,50.673196
55.0,55,50.79758
98.0,98,51.019158
57.0,57,51.142399
48.0,48,51.260808
45.0,45,51.363451
71.0,71,51.531218
46.0,46,51.636391
63.0,63,51.783558
83.0,83,51.968356
86.0,86,52.158089
45.0,45,52.257188
107.0,107,52.570642
47.0,47,52.681629
82.0,82,52.88173
48.0,48,52.992487
72.0,72,53.15582
97.0,97,53.382156
125.0,125,53.68142
139.0,139,54.073802
161.0,161,54.984507
119.0,119,55.25861
109.0,109,55.498571
140.0,140,55.806851
200.0,200,56.265176
200.0,200,56.727018
200.0,200,57.163233
200.0,200,57.605592
200.0,200,58.061976
200.0,200,58.572971
200.0,200,59.021459
200.0,200,59.460469
200.0,200,59.913626
200.0,200,60.372725
200.0,200,60.923856
200.0,200,61.430818
200.0,200,61.900104
200.0,200,62.983119
200.0,200,63.411455
200.0,200,63.866941
200.0,200,64.301298
200.0,200,64.754322
200.0,200,65.209358
200.0,200,65.683539
200.0,200,66.133205
200.0,200,66.573148
200.0,200,67.022509
200.0,200,67.471399
200.0,200,67.98639
200.0,200,68.445021
200.0,200,68.897802
200.0,200,69.336803
200.0,200,70.469939
200.0,200,70.923404
200.0,200,71.366161
200.0,200,71.815551
200.0,200,72.269233
200.0,200,72.742352
200.0,200,73.177777
200.0,200,73.619834
200.0,200,74.057069
200.0,200,74.522308
200.0,200,74.985989
200.0,200,75.44669
200.0,200,75.90499
200.0,200,76.349149
200.0,200,76.800224
200.0,200,77.252437
200.0,200,78.334689
200.0,200,78.767038
200.0,200,79.256186
200.0,200,79.740801
200.0,200,80.203894
200.0,200,80.656338
200.0,200,81.103894
200.0,200,81.559528
200.0,200,82.014325
200.0,200,82.45171
200.0,200,82.91801
200.0,200,83.365764
200.0,200,83.843301
200.0,200,84.294238
200.0,200,84.757991
200.0,200,85.206445
200.0,200,86.33701
200.0,200,86.799621
200.0,200,87.268482
200.0,200,87.712674
200.0,200,88.151766
200.0,200,88.65426
200.0,200,89.105556
200.0,200,89.592317
200.0,200,90.039122
200.0,200,90.494273
200.0,200,90.96723
200.0,200,91.440355
200.0,200,91.895611
200.0,200,92.367569
200.0,200,92.810204
200.0,200,93.92262
200.0,200,94.374761
200.0,200,94.840112
200.0,200,95.297051
