#{"t_start": 1684148938.8140929, "env_id": "FoRLCartPole-v0"}
r,l,t
12.0,12,0.082968
10.0,10,0.111084
27.0,27,0.199154
14.0,14,0.239851
28.0,28,0.334342
42.0,42,0.451398
32.0,32,0.538292
25.0,25,0.618871
23.0,23,0.68687
18.0,18,0.737775
43.0,43,0.84758
20.0,20,0.897933
67.0,67,1.058511
15.0,15,1.094565
16.0,16,1.131983
38.0,38,1.21287
16.0,16,1.253624
45.0,45,1.355666
30.0,30,1.419234
31.0,31,1.486137
38.0,38,1.57942
21.0,21,1.639728
77.0,77,1.837946
98.0,98,2.077442
154.0,154,2.44483
186.0,186,2.883531
65.0,65,3.030794
157.0,157,3.391253
139.0,139,3.704582
200.0,200,4.166034
200.0,200,4.678676
200.0,200,5.144964
200.0,200,5.600507
200.0,200,6.053695
200.0,200,6.515772
200.0,200,6.979645
200.0,200,7.448128
200.0,200,8.573601
187.0,187,9.000696
200.0,200,9.46703
200.0,200,9.931056
200.0,200,10.389875
171.0,171,10.758343
200.0,200,11.203514
178.0,178,11.611577
118.0,118,11.886259
85.0,85,12.077876
134.0,134,12.370828
106.0,106,12.604363
117.0,117,12.87071
118.0,118,13.125358
31.0,31,13.194824
113.0,113,13.437797
59.0,59,13.570676
42.0,42,13.664284
107.0,107,13.902015
98.0,98,14.141416
98.0,98,14.397059
120.0,120,14.676011
120.0,120,14.96164
135.0,135,15.265011
106.0,106,16.037883
187.0,187,16.49036
200.0,200,16.940529
200.0,200,17.370007
191.0,191,17.795314
164.0,164,18.170032
200.0,200,18.617285
200.0,200,19.065401
200.0,200,19.520366
200.0,200,19.970067
153.0,153,20.297928
200.0,200,20.736777
200.0,200,21.191834
200.0,200,21.625113
200.0,200,22.079935
200.0,200,22.528221
200.0,200,23.632764
200.0,200,24.097336
200.0,200,24.549157
144.0,144,24.870955
200.0,200,25.335452
170.0,170,25.755753
200.0,200,26.213974
125.0,125,26.500521
200.0,200,26.946524
200.0,200,27.399106
200.0,200,27.856601
200.0,200,28.316329
200.0,200,28.752892
200.0,200,29.201797
200.0,200,29.645866
200.0,200,30.097708
200.0,200,30.56432
200.0,200,31.676702
200.0,200,32.133236
200.0,200,32.606438
200.0,200,33.057491
200.0,200,33.508311
200.0,200,33.953544
200.0,200,34.394024
200.0,200,34.845509
200.0,200,35.31793
200.0,200,35.779156
