#{"t_start": 1684148938.8247292, "env_id": "FoRLCartPole-v0"}
r,l,t
9.0,9,0.059073
28.0,28,0.146671
13.0,13,0.190006
14.0,14,0.231659
15.0,15,0.285417
10.0,10,0.314336
19.0,19,0.374835
18.0,18,0.426618
17.0,17,0.474708
27.0,27,0.540484
20.0,20,0.608574
8.0,8,0.632812
23.0,23,0.701518
24.0,24,0.76293
17.0,17,0.811182
36.0,36,0.897959
22.0,22,0.944812
48.0,48,1.060143
56.0,56,1.187412
12.0,12,1.220757
116.0,116,1.475726
29.0,29,1.548994
19.0,19,1.595389
77.0,77,1.791149
48.0,48,1.9168
17.0,17,1.965134
55.0,55,2.087738
105.0,105,2.353803
100.0,100,2.584463
103.0,103,2.817671
141.0,141,3.143013
169.0,169,3.527322
185.0,185,3.951311
200.0,200,4.409701
200.0,200,4.933619
200.0,200,5.384086
200.0,200,5.840267
200.0,200,6.304827
200.0,200,6.759866
200.0,200,7.237813
200.0,200,8.34253
200.0,200,8.818907
200.0,200,9.279915
162.0,162,9.658179
200.0,200,10.12506
200.0,200,10.564368
200.0,200,11.01387
200.0,200,11.458626
117.0,117,11.737036
105.0,105,11.971279
127.0,127,12.251619
38.0,38,12.33613
118.0,118,12.595009
100.0,100,12.823342
103.0,103,13.050592
52.0,52,13.16321
89.0,89,13.361472
73.0,73,13.515338
154.0,154,13.851992
160.0,160,14.264716
200.0,200,14.741757
106.0,106,14.983592
81.0,81,15.165694
95.0,95,15.901765
148.0,148,16.271485
164.0,164,16.644381
185.0,185,17.056403
200.0,200,17.484771
200.0,200,17.949519
200.0,200,18.387634
200.0,200,18.848123
200.0,200,19.297114
200.0,200,19.749057
126.0,126,20.028284
90.0,90,20.226115
92.0,92,20.422234
144.0,144,20.73808
200.0,200,21.190487
200.0,200,21.623071
195.0,195,22.06819
200.0,200,22.516046
200.0,200,23.620393
200.0,200,24.085252
187.0,187,24.514859
48.0,48,24.619939
81.0,81,24.802313
200.0,200,25.258439
181.0,181,25.712585
27.0,27,25.767073
200.0,200,26.228965
200.0,200,26.684505
200.0,200,27.120826
200.0,200,27.578967
200.0,200,28.04784
200.0,200,28.487521
200.0,200,28.928528
200.0,200,29.380596
200.0,200,29.826503
200.0,200,30.297561
200.0,200,31.382238
200.0,200,31.862072
200.0,200,32.316183
200.0,200,32.78606
200.0,200,33.23872
200.0,200,33.685229
137.0,137,33.984308
200.0,200,34.428974
200.0,200,34.889152
200.0,200,35.352293
200.0,200,35.824727
200.0,200,36.278839
200.0,200,36.732239
200.0,200,37.170953
200.0,200,37.67168
200.0,200,38.12478
200.0,200,39.195028
200.0,200,39.653893
200.0,200,40.116562
200.0,200,40.563197
200.0,200,41.011276
200.0,200,41.446549
200.0,200,41.930301
200.0,200,42.391948
200.0,200,42.865282
200.0,200,43.309859
200.0,200,43.75416
200.0,200,44.186842
163.0,163,44.608399
143.0,143,44.933359
178.0,178,45.331871
160.0,160,45.685235
200.0,200,46.131956
177.0,177,47.224889
95.0,95,47.437876
72.0,72,47.596112
70.0,70,47.754337
67.0,67,47.900263
59.0,59,48.032609
70.0,70,48.201359
47.0,47,48.305159
70.0,70,48.457893
46.0,46,48.551359
46.0,46,48.650549
42.0,42,48.743037
20.0,20,48.788988
39.0,39,48.878335
37.0,37,48.974012
33.0,33,49.047214
25.0,25,49.106672
27.0,27,49.168342
36.0,36,49.251198
37.0,37,49.333622
35.0,35,49.414215
31.0,31,49.478884
34.0,34,49.561179
29.0,29,49.635092
33.0,33,49.715305
25.0,25,49.772529
31.0,31,49.844334
37.0,37,49.920401
37.0,37,50.003091
44.0,44,50.10003
68.0,68,50.26499
59.0,59,50.394657
54.0,54,50.5099
59.0,59,50.638045
93.0,93,50.850893
61.0,61,50.994847
69.0,69,51.140568
52.0,52,51.269347
49.0,49,51.388751
75.0,75,51.550864
98.0,98,51.787692
42.0,42,51.882661
37.0,37,51.962996
65.0,65,52.10822
77.0,77,52.272647
75.0,75,52.50884
87.0,87,52.718522
42.0,42,52.82348
49.0,49,52.940983
45.0,45,53.046653
51.0,51,53.16139
114.0,114,53.419085
121.0,121,53.723105
88.0,88,53.964426
200.0,200,54.984861
136.0,136,55.297994
129.0,129,55.585277
171.0,171,55.973175
200.0,200,56.428294
200.0,200,56.882422
200.0,200,57.323348
200.0,200,57.768586
200.0,200,58.264564
200.0,200,58.731149
200.0,200,59.17507
200.0,200,59.626909
200.0,200,60.076838
200.0,200,60.560882
200.0,200,61.112163
200.0,200,61.600011
200.0,200,62.683015
200.0,200,63.137535
200.0,200,63.583556
200.0,200,64.0209
200.0,200,64.455014
200.0,200,64.913124
200.0,200,65.377344
200.0,200,65.847823
200.0,200,66.292332
200.0,200,66.737241
200.0,200,67.186538
200.0,200,67.68945
200.0,200,68.154202
200.0,200,68.612244
200.0,200,69.058485
200.0,200,69.508589
200.0,200,70.641068
200.0,200,71.075985
200.0,200,71.517271
200.0,200,71.975846
200.0,200,72.433254
200.0,200,72.902858
200.0,200,73.34085
200.0,200,73.780834
200.0,200,74.215198
200.0,200,74.694265
200.0,200,75.14638
200.0,200,75.61225
200.0,200,76.07146
200.0,200,76.5045
200.0,200,76.975775
200.0,200,77.41121
200.0,200,78.483673
200.0,200,78.922096
200.0,200,79.430781
200.0,200,79.906724
200.0,200,80.365342
200.0,200,80.823494
200.0,200,81.261006
200.0,200,81.723377
200.0,200,82.1687
200.0,200,82.617855
200.0,200,83.079732
200.0,200,83.542969
200.0,200,84.010402
200.0,200,84.459821
200.0,200,84.914381
200.0,200,86.027822
200.0,200,86.500276
200.0,200,86.975797
200.0,200,87.426518
200.0,200,87.867824
200.0,200,88.311293
200.0,200,88.823021
200.0,200,89.268015
200.0,200,89.760761
200.0,200,90.197748
200.0,200,90.660264
200.0,200,91.140935
200.0,200,91.602055
200.0,200,92.065948
200.0,200,92.517916
200.0,200,92.973303
200.0,200,94.085797
200.0,200,94.5502
200.0,200,95.001749
200.0,200,95.468654
200.0,200,95.942409
200.0,200,96.423448
200.0,200,96.879174
200.0,200,97.505137
200.0,200,98.113818
200.0,200,98.655488
200.0,200,99.132949
200.0,200,99.588851
200.0,200,100.097089
200.0,200,100.576532
200.0,200,101.037765
200.0,200,102.158191
200.0,200,102.684037
200.0,200,103.151034
200.0,200,103.603931
200.0,200,104.059463
200.0,200,104.50657
200.0,200,104.9805
200.0,200,105.445525
200.0,200,105.897534
200.0,200,106.342932
200.0,200,106.826458
200.0,200,107.306097
200.0,200,107.779589
200.0,200,108.224755
200.0,200,108.672855
200.0,200,109.131263
200.0,200,110.265541
200.0,200,110.725708
200.0,200,111.174687
200.0,200,111.633191
200.0,200,112.148941
200.0,200,112.787426
200.0,200,113.472497
200.0,200,114.119862
200.0,200,114.639427
200.0,200,115.111492
200.0,200,115.573974
200.0,200,116.016122
200.0,200,116.533535
200.0,200,117.012956
200.0,200,117.467519
200.0,200,117.932671
200.0,200,119.073169
200.0,200,119.5265
200.0,200,119.972556
200.0,200,120.42656
200.0,200,120.877785
200.0,200,121.405531
200.0,200,121.91284
200.0,200,122.371556
200.0,200,122.849293
200.0,200,123.30001
200.0,200,123.754158
200.0,200,124.208228
200.0,200,124.661517
200.0,200,125.104288
200.0,200,125.567107
200.0,200,126.701513
200.0,200,127.161316
200.0,200,127.611406
200.0,200,128.134259
200.0,200,128.603526
200.0,200,129.043836
200.0,200,129.48755
200.0,200,129.937682
200.0,200,130.406573
200.0,200,130.85201
200.0,200,131.286719
200.0,200,131.735407
200.0,200,132.179319
200.0,200,132.641405
200.0,200,133.101703
200.0,200,133.541695
200.0,200,134.658622
200.0,200,135.120072
200.0,200,135.577307
200.0,200,136.022247
200.0,200,136.46071
200.0,200,136.911546
200.0,200,137.372087
200.0,200,137.863423
200.0,200,138.334963
200.0,200,138.774824
200.0,200,139.225557
200.0,200,139.696075
200.0,200,140.144807
200.0,200,140.595932
200.0,200,141.038723
200.0,200,141.478257
200.0,200,142.59743
200.0,200,143.036809
200.0,200,143.490807
200.0,200,143.970301
200.0,200,144.439039
200.0,200,144.895357
200.0,200,145.34258
