#{"t_start": 1684149100.82289, "env_id": "FoRLCartPoleRandomNormal-v0"}
r,l,t
15.0,15,0.06158
14.0,15,0.103827
9.0,10,0.149283
13.0,14,0.187921
21.0,22,0.247813
28.0,29,0.314347
28.0,29,0.387426
25.0,26,0.443694
7.0,8,0.466636
32.0,33,0.539342
36.0,37,0.624987
20.0,21,0.679206
21.0,22,0.731989
25.0,26,0.803358
27.0,28,0.868632
27.0,28,0.937388
20.0,21,0.997248
68.0,69,1.156339
17.0,18,1.199622
38.0,39,1.28848
33.0,34,1.365252
70.0,71,1.530893
56.0,57,1.660707
56.0,57,1.795002
38.0,39,1.883244
66.0,67,2.038329
63.0,64,2.182294
100.0,101,2.408855
200.0,200,2.924982
92.0,93,3.139986
56.0,57,3.28093
189.0,190,3.740115
126.0,127,4.041463
200.0,200,4.48339
200.0,200,4.948833
200.0,200,5.398025
200.0,200,5.840636
200.0,200,6.321585
200.0,200,6.775951
200.0,200,7.21702
200.0,200,8.428732
200.0,200,8.899458
200.0,200,9.358251
200.0,200,9.83933
200.0,200,10.28092
131.0,132,10.569768
200.0,200,11.019259
200.0,200,11.484922
200.0,200,12.013865
181.0,182,12.451335
178.0,179,12.857068
200.0,200,13.309878
200.0,200,13.769757
200.0,200,14.260872
143.0,144,14.594885
200.0,200,15.053265
200.0,200,16.153176
200.0,200,16.626925
200.0,200,17.076309
200.0,200,17.536581
200.0,200,17.98575
200.0,200,18.427229
200.0,200,18.908714
200.0,200,19.354474
200.0,200,19.863057
200.0,200,20.395519
200.0,200,20.879825
200.0,200,21.365223
200.0,200,21.820617
200.0,200,22.261638
200.0,200,22.723935
200.0,200,23.18401
200.0,200,24.369367
187.0,188,24.822106
157.0,158,25.165746
177.0,178,25.569623
180.0,181,25.997111
130.0,131,26.298783
200.0,200,26.742517
200.0,200,27.185977
168.0,169,27.551985
200.0,200,28.014101
200.0,200,28.461392
200.0,200,28.922871
200.0,200,29.364222
200.0,200,29.815203
200.0,200,30.305724
200.0,200,30.769697
200.0,200,31.836501
200.0,200,32.317462
200.0,200,32.80803
200.0,200,33.47309
200.0,200,33.998422
200.0,200,34.485409
200.0,200,34.974944
200.0,200,35.43328
200.0,200,35.873528
200.0,200,36.334978
200.0,200,36.782939
200.0,200,37.238446
200.0,200,37.716555
200.0,200,38.160042
200.0,200,38.61283
200.0,200,39.070507
200.0,200,40.192699
200.0,200,40.637314
200.0,200,41.0691
200.0,200,41.518891
200.0,200,41.978367
200.0,200,42.416238
200.0,200,42.884387
200.0,200,43.321045
200.0,200,43.770503
200.0,200,44.231261
200.0,200,44.676826
200.0,200,45.117652
200.0,200,45.565774
200.0,200,46.01577
200.0,200,46.478118
200.0,200,46.919051
200.0,200,47.999512
200.0,200,48.433223
200.0,200,48.903957
200.0,200,49.36443
200.0,200,49.868742
200.0,200,50.336616
200.0,200,50.7948
200.0,200,51.245072
170.0,171,51.624066
116.0,117,51.89399
166.0,167,52.266204
64.0,65,52.439635
63.0,64,52.585762
56.0,57,52.717643
58.0,59,52.85473
40.0,41,52.947386
64.0,65,53.088181
46.0,47,53.204991
52.0,53,53.332207
29.0,30,53.404199
37.0,38,53.491663
37.0,38,53.583647
43.0,44,53.684797
56.0,57,53.819076
42.0,43,53.915763
36.0,37,54.005379
43.0,44,54.108108
33.0,34,54.183238
25.0,26,54.246489
24.0,25,54.305977
41.0,42,54.404772
41.0,42,54.499451
28.0,29,54.5594
58.0,59,54.705209
38.0,39,54.796404
38.0,39,55.061285
41.0,42,55.172218
53.0,54,55.335716
35.0,36,55.432875
52.0,53,55.576747
40.0,41,55.678069
28.0,29,55.747912
37.0,38,55.827007
39.0,40,55.921017
33.0,34,56.007216
33.0,34,56.0861
29.0,30,56.150312
29.0,30,56.216146
34.0,35,56.294281
30.0,31,56.359481
34.0,35,56.436812
53.0,54,56.561519
40.0,41,56.650189
23.0,24,56.707108
25.0,26,56.76404
19.0,20,56.805766
47.0,48,56.916451
29.0,30,56.980354
28.0,29,57.043781
23.0,24,57.099839
47.0,48,57.214848
32.0,33,57.284214
25.0,26,57.351483
32.0,33,57.435781
38.0,39,57.527904
45.0,46,57.628489
29.0,30,57.701492
35.0,36,57.788415
28.0,29,57.862406
30.0,31,57.934192
29.0,30,58.000632
44.0,45,58.104961
57.0,58,58.247626
25.0,26,58.301304
59.0,60,58.441513
41.0,42,58.539855
29.0,30,58.608837
59.0,60,58.747669
33.0,34,58.819693
52.0,53,58.947643
40.0,41,59.041937
43.0,44,59.143404
75.0,76,59.318499
67.0,68,59.471855
55.0,56,59.599123
50.0,51,59.721075
70.0,71,59.871
113.0,114,60.183704
69.0,70,60.350497
74.0,75,60.517281
96.0,97,60.755861
78.0,79,60.92432
101.0,102,61.154875
105.0,106,61.393173
165.0,166,61.755316
101.0,102,61.983005
200.0,200,63.074192
200.0,200,63.526896
95.0,96,63.752663
122.0,123,64.025384
97.0,98,64.254208
69.0,70,64.415211
123.0,124,64.70877
100.0,101,64.946113
89.0,90,65.141437
98.0,99,65.359915
110.0,111,65.604881
104.0,105,65.843621
140.0,141,66.173021
127.0,128,66.457569
200.0,200,66.9078
136.0,137,67.214777
126.0,127,67.505254
109.0,110,67.759143
119.0,120,68.03549
200.0,200,68.467806
200.0,200,68.928929
200.0,200,69.401579
200.0,200,69.859453
200.0,200,70.95062
200.0,200,71.385308
200.0,200,71.934119
200.0,200,72.463165
200.0,200,72.951702
200.0,200,73.419303
200.0,200,73.887853
200.0,200,74.338539
200.0,200,74.798748
200.0,200,75.360348
200.0,200,76.0724
200.0,200,76.707218
200.0,200,77.200777
200.0,200,77.654518
200.0,200,78.119297
200.0,200,78.579419
200.0,200,79.699732
200.0,200,80.170284
200.0,200,80.783201
200.0,200,81.287793
200.0,200,81.750899
200.0,200,82.201746
200.0,200,82.663015
200.0,200,83.145569
200.0,200,83.595723
200.0,200,84.061072
200.0,200,84.513368
200.0,200,84.982136
200.0,200,85.455189
200.0,200,85.951077
200.0,200,86.411457
200.0,200,87.524079
200.0,200,87.999205
200.0,200,88.449138
200.0,200,88.899004
200.0,200,89.338336
200.0,200,89.800237
200.0,200,90.248723
200.0,200,90.692643
200.0,200,91.150251
200.0,200,91.59882
188.0,189,92.004829
180.0,181,92.470328
199.0,200,92.925411
200.0,200,93.382698
200.0,200,93.837331
186.0,187,94.263543
178.0,179,95.249926
179.0,180,95.636171
158.0,159,95.997199
147.0,148,96.314797
170.0,171,96.706643
180.0,181,97.107706
160.0,161,97.488548
184.0,185,97.903877
200.0,200,98.347305
195.0,196,98.799418
169.0,170,99.201167
193.0,194,99.648833
189.0,190,100.084489
200.0,200,100.518944
200.0,200,100.96735
200.0,200,101.424129
200.0,200,101.877568
200.0,200,102.972232
200.0,200,103.422186
200.0,200,103.945566
200.0,200,104.423648
200.0,200,104.8919
200.0,200,105.34938
200.0,200,105.817515
200.0,200,106.27729
200.0,200,106.716758
200.0,200,107.16387
200.0,200,107.635287
200.0,200,108.096417
200.0,200,108.561097
200.0,200,109.018874
200.0,200,109.46986
200.0,200,109.925733
200.0,200,111.018904
200.0,200,111.47215
200.0,200,111.927595
169.0,170,112.332082
163.0,164,112.726343
147.0,148,113.061598
164.0,165,113.434927
200.0,200,113.891119
200.0,200,114.346497
200.0,200,114.865911
200.0,200,115.332284
200.0,200,115.781261
200.0,200,116.234585
200.0,200,116.69101
171.0,172,117.078412
200.0,200,117.540792
200.0,200,118.691322
200.0,200,119.161482
200.0,200,119.616772
200.0,200,120.074783
200.0,200,120.525938
200.0,200,120.999352
183.0,184,121.414759
200.0,200,121.873873
176.0,177,122.282186
200.0,200,122.732719
200.0,200,123.179925
200.0,200,123.621202
200.0,200,124.134844
200.0,200,124.591865
200.0,200,125.052047
200.0,200,125.48465
200.0,200,126.582835
200.0,200,127.034795
200.0,200,127.471966
200.0,200,127.931907
200.0,200,128.39233
200.0,200,128.862061
200.0,200,129.326345
200.0,200,129.790135
200.0,200,130.228298
200.0,200,130.672269
200.0,200,131.131152
200.0,200,131.580109
200.0,200,132.021181
200.0,200,132.510985
200.0,200,132.953786
200.0,200,133.400179
200.0,200,134.495216
200.0,200,134.954128
200.0,200,135.446655
200.0,200,135.91442
200.0,200,136.403315
200.0,200,136.857958
200.0,200,137.328189
200.0,200,137.798039
200.0,200,138.264949
200.0,200,138.719179
200.0,200,139.173579
200.0,200,139.619981
200.0,200,140.107279
200.0,200,140.545249
200.0,200,141.095718
200.0,200,142.245613
200.0,200,142.731252
200.0,200,143.185867
200.0,200,143.640155
200.0,200,144.095182
200.0,200,144.567428
200.0,200,145.034103
200.0,200,145.480167
200.0,200,145.93894
200.0,200,146.381557
200.0,200,146.836362
200.0,200,147.28047
200.0,200,147.771842
200.0,200,148.235179
