#{"t_start": 1684149100.8258042, "env_id": "FoRLCartPoleRandomNormal-v0"}
r,l,t
18.0,18,0.071995
23.0,24,0.159449
21.0,22,0.210635
12.0,13,0.24638
21.0,22,0.299247
13.0,14,0.328658
26.0,27,0.39715
41.0,42,0.497202
11.0,12,0.520078
12.0,13,0.552449
25.0,26,0.612121
15.0,16,0.647236
58.0,59,0.801919
23.0,24,0.859822
31.0,32,0.935833
46.0,47,1.05465
35.0,36,1.142361
100.0,101,1.374915
75.0,76,1.548168
74.0,75,1.725109
33.0,34,1.802462
42.0,43,1.902159
41.0,42,1.99704
181.0,182,2.406079
150.0,151,2.810068
200.0,200,3.28426
116.0,117,3.565278
144.0,145,3.916897
184.0,185,4.333523
129.0,130,4.612543
200.0,200,5.08283
200.0,200,5.521052
200.0,200,5.981803
200.0,200,6.45168
200.0,200,6.910158
200.0,200,7.998135
200.0,200,8.57327
200.0,200,9.034665
175.0,176,9.436146
200.0,200,9.920222
200.0,200,10.35953
117.0,118,10.615635
200.0,200,11.073298
200.0,200,11.53484
200.0,200,12.066005
200.0,200,12.539961
200.0,200,13.000615
145.0,146,13.32565
140.0,141,13.653095
200.0,200,14.103196
166.0,167,14.53205
200.0,200,14.985214
200.0,200,16.086312
200.0,200,16.56023
200.0,200,17.01702
200.0,200,17.466419
158.0,159,17.834442
200.0,200,18.270241
200.0,200,18.733324
200.0,200,19.205125
200.0,200,19.663814
200.0,200,20.229612
200.0,200,20.703693
200.0,200,21.197232
200.0,200,21.65916
200.0,200,22.112419
200.0,200,22.557864
200.0,200,23.025236
200.0,200,24.18943
200.0,200,24.691606
136.0,137,24.998615
112.0,113,25.239625
146.0,147,25.575284
152.0,153,25.943522
145.0,146,26.280664
200.0,200,26.72163
197.0,198,27.156953
196.0,197,27.59903
200.0,200,28.055241
200.0,200,28.502783
200.0,200,28.964531
200.0,200,29.401193
200.0,200,29.855875
200.0,200,30.34603
200.0,200,30.81453
200.0,200,31.887153
200.0,200,32.361655
200.0,200,32.846036
200.0,200,33.524455
200.0,200,34.04939
200.0,200,34.522861
200.0,200,35.014539
200.0,200,35.471349
200.0,200,35.917758
200.0,200,36.372275
200.0,200,36.82119
200.0,200,37.282558
200.0,200,37.75611
200.0,200,38.203254
200.0,200,38.653928
200.0,200,39.109134
200.0,200,40.229883
200.0,200,40.680505
200.0,200,41.114478
200.0,200,41.556449
200.0,200,42.017735
200.0,200,42.463484
200.0,200,42.919278
200.0,200,43.358583
200.0,200,43.81793
200.0,200,44.268206
200.0,200,44.718113
200.0,200,45.161649
200.0,200,45.603115
200.0,200,46.050048
200.0,200,46.518491
200.0,200,46.95617
200.0,200,48.036
200.0,200,48.477692
200.0,200,48.943554
200.0,200,49.436635
200.0,200,49.909234
200.0,200,50.378091
200.0,200,50.827722
200.0,200,51.294327
143.0,144,51.599761
154.0,155,51.947303
125.0,126,52.238643
56.0,57,52.36759
51.0,52,52.507316
56.0,57,52.645167
70.0,71,52.799881
66.0,67,52.954336
57.0,58,53.082998
40.0,41,53.181808
57.0,58,53.322252
50.0,51,53.443899
45.0,46,53.54497
48.0,49,53.667997
38.0,39,53.759262
35.0,36,53.836966
35.0,36,53.921953
48.0,49,54.03533
30.0,31,54.109895
34.0,35,54.191417
32.0,33,54.270186
40.0,41,54.361785
47.0,48,54.478542
45.0,46,54.57686
40.0,41,54.673776
44.0,45,54.778651
27.0,28,54.850177
30.0,31,55.104639
39.0,40,55.214842
50.0,51,55.361262
30.0,31,55.447195
35.0,36,55.542594
43.0,44,55.653911
40.0,41,55.749966
42.0,43,55.851089
51.0,52,55.973618
36.0,37,56.05979
43.0,44,56.158899
29.0,30,56.221502
44.0,45,56.320953
42.0,43,56.415604
46.0,47,56.524186
40.0,41,56.614949
42.0,43,56.70972
37.0,38,56.791101
31.0,32,56.858615
37.0,38,56.945433
35.0,36,57.02983
54.0,55,57.151641
25.0,26,57.215449
54.0,55,57.343035
35.0,36,57.440882
43.0,44,57.539072
41.0,42,57.633431
42.0,43,57.737248
55.0,56,57.877325
50.0,51,57.994085
30.0,31,58.068313
58.0,59,58.20167
62.0,63,58.350795
66.0,67,58.503453
41.0,42,58.599445
65.0,66,58.749928
52.0,53,58.873044
72.0,73,59.050688
72.0,73,59.213758
