#{"t_start": 1684149100.8180387, "env_id": "FoRLCartPoleRandomNormal-v0"}
r,l,t
189.0,190,98.309687
196.0,197,98.757222
178.0,179,99.174938
183.0,184,99.60556
192.0,193,100.057533
200.0,200,100.495232
200.0,200,100.934514
200.0,200,101.394949
200.0,200,101.849526
200.0,200,102.939341
200.0,200,103.390771
200.0,200,103.919252
200.0,200,104.392097
200.0,200,104.862846
200.0,200,105.320379
200.0,200,105.791671
200.0,200,106.24475
200.0,200,106.687262
200.0,200,107.139328
199.0,200,107.600601
200.0,200,108.072123
200.0,200,108.529711
200.0,200,108.989862
200.0,200,109.439544
200.0,200,109.897258
200.0,200,110.990676
200.0,200,111.440898
200.0,200,111.899385
167.0,168,112.295291
154.0,155,112.661534
186.0,187,113.098701
200.0,200,113.546022
200.0,200,114.006997
200.0,200,114.468219
200.0,200,114.990817
200.0,200,115.450067
200.0,200,115.892262
200.0,200,116.353329
200.0,200,116.806648
188.0,189,117.233554
200.0,200,117.69835
200.0,200,118.854829
200.0,200,119.309222
200.0,200,119.778886
200.0,200,120.219011
200.0,200,120.684381
194.0,195,121.144672
200.0,200,121.589505
200.0,200,122.055707
168.0,169,122.432004
200.0,200,122.890805
200.0,200,123.329013
200.0,200,123.77511
200.0,200,124.292899
200.0,200,124.751573
200.0,200,125.203513
200.0,200,125.636683
200.0,200,126.74666
200.0,200,127.184804
200.0,200,127.625046
200.0,200,128.09797
200.0,200,128.554066
200.0,200,129.025009
200.0,200,129.484471
200.0,200,129.94335
200.0,200,130.381033
200.0,200,130.834785
200.0,200,131.281847
200.0,200,131.733493
200.0,200,132.168862
200.0,200,132.662672
200.0,200,133.113334
200.0,200,134.194635
200.0,200,134.656202
200.0,200,135.107162
200.0,200,135.606367
200.0,200,136.077702
200.0,200,136.556883
200.0,200,137.022887
200.0,200,137.482787
200.0,200,137.960641
200.0,200,138.414692
200.0,200,138.881647
200.0,200,139.328582
200.0,200,139.804328
200.0,200,140.262104
200.0,200,140.713901
200.0,200,141.276952
200.0,200,142.42098
200.0,200,142.88903
200.0,200,143.341636
200.0,200,143.798422
200.0,200,144.257149
200.0,200,144.733673
200.0,200,145.181564
200.0,200,145.639597
200.0,200,146.085603
200.0,200,146.528621
200.0,200,146.997705
200.0,200,147.433679
200.0,200,147.934229
200.0,200,148.382905
