#{"t_start": 1684149100.8213344, "env_id": "FoRLCartPoleRandomNormal-v0"}
r,l,t
43.0,43,0.165277
22.0,23,0.223215
19.0,20,0.273506
13.0,14,0.30507
15.0,16,0.346498
12.0,13,0.376212
41.0,42,0.476784
27.0,28,0.534432
24.0,25,0.596394
19.0,20,0.637622
21.0,22,0.701077
14.0,15,0.733387
32.0,33,0.819379
99.0,100,1.066479
36.0,37,1.15552
33.0,34,1.229012
85.0,86,1.435829
33.0,34,1.509646
27.0,28,1.570791
28.0,29,1.63946
64.0,65,1.793816
54.0,55,1.922041
41.0,42,2.013831
107.0,108,2.269472
143.0,144,2.588601
153.0,154,3.001137
90.0,91,3.216626
200.0,200,3.703509
140.0,141,4.032758
121.0,122,4.302535
200.0,200,4.753418
200.0,200,5.213423
200.0,200,5.650226
200.0,200,6.117759
200.0,200,6.581978
136.0,137,6.900019
200.0,200,7.346312
200.0,200,8.561297
200.0,200,9.02477
200.0,200,9.477391
200.0,200,9.968684
200.0,200,10.402502
200.0,200,10.849604
200.0,200,11.305235
200.0,200,11.819813
200.0,200,12.311619
168.0,169,12.695604
194.0,195,13.14849
162.0,163,13.520921
200.0,200,13.969641
200.0,200,14.467261
200.0,200,14.932211
200.0,200,15.38833
200.0,200,16.499092
200.0,200,16.950928
200.0,200,17.407097
200.0,200,17.868723
200.0,200,18.303653
200.0,200,18.779518
200.0,200,19.238151
200.0,200,19.714538
200.0,200,20.267029
200.0,200,20.748882
200.0,200,21.229199
200.0,200,21.696811
200.0,200,22.146637
200.0,200,22.59539
200.0,200,23.059142
200.0,200,24.22607
163.0,164,24.633967
99.0,100,24.863215
72.0,73,25.027997
148.0,149,25.360524
150.0,151,25.718499
161.0,162,26.087492
135.0,136,26.402729
200.0,200,26.837231
200.0,200,27.28075
141.0,142,27.596558
200.0,200,28.053714
200.0,200,28.495992
200.0,200,28.961194
200.0,200,29.399975
200.0,200,29.847835
200.0,200,30.344208
200.0,200,30.811532
200.0,200,31.884655
200.0,200,32.355914
200.0,200,32.844328
200.0,200,33.522227
200.0,200,34.046704
200.0,200,34.521334
200.0,200,35.011851
200.0,200,35.46504
200.0,200,35.915946
200.0,200,36.371047
200.0,200,36.814646
200.0,200,37.27958
200.0,200,37.753263
200.0,200,38.201841
200.0,200,38.652326
200.0,200,39.107345
200.0,200,40.228886
200.0,200,40.673944
200.0,200,41.111242
200.0,200,41.555341
200.0,200,42.013807
200.0,200,42.460156
200.0,200,42.918153
200.0,200,43.35334
200.0,200,43.815836
200.0,200,44.267205
200.0,200,44.716029
200.0,200,45.16009
200.0,200,45.601867
200.0,200,46.048991
200.0,200,46.517196
200.0,200,46.955108
200.0,200,48.034308
200.0,200,48.474738
200.0,200,48.94105
200.0,200,49.433671
200.0,200,49.90548
200.0,200,50.375137
200.0,200,50.826696
200.0,200,51.29042
133.0,134,51.578969
140.0,141,51.899687
92.0,93,52.108386
80.0,81,52.287371
44.0,45,52.418319
81.0,82,52.609656
73.0,74,52.777433
44.0,45,52.878476
43.0,44,52.979619
