#{"t_start": 1684149100.8198073, "env_id": "FoRLCartPoleRandomNormal-v0"}
r,l,t
17.0,17,0.076267
16.0,17,0.124363
29.0,30,0.216388
23.0,24,0.277345
46.0,47,0.391744
14.0,15,0.423504
32.0,33,0.504451
41.0,42,0.599198
45.0,46,0.714044
31.0,32,0.7943
25.0,26,0.852091
136.0,137,1.192801
35.0,36,1.277113
51.0,52,1.39253
56.0,57,1.529091
44.0,45,1.62757
43.0,44,1.732395
37.0,38,1.822818
188.0,189,2.259254
69.0,70,2.408701
200.0,200,2.924192
198.0,199,3.403173
173.0,174,3.819582
121.0,122,4.096815
127.0,128,4.38015
200.0,200,4.840243
200.0,200,5.295599
167.0,168,5.664389
200.0,200,6.129296
200.0,200,6.592454
200.0,200,7.045618
200.0,200,8.233996
200.0,200,8.723201
200.0,200,9.173224
200.0,200,9.643092
200.0,200,10.107782
200.0,200,10.548502
200.0,200,10.998394
200.0,200,11.45914
200.0,200,11.990939
200.0,200,12.468376
200.0,200,12.924305
171.0,172,13.312793
200.0,200,13.772613
200.0,200,14.263767
200.0,200,14.730287
200.0,200,15.181583
200.0,200,16.289624
200.0,200,16.753369
200.0,200,17.199836
193.0,194,17.657762
200.0,200,18.096782
200.0,200,18.544605
200.0,200,19.028206
200.0,200,19.469025
200.0,200,20.007044
200.0,200,20.533008
200.0,200,21.002517
200.0,200,21.482828
200.0,200,21.939192
200.0,200,22.380594
200.0,200,22.841863
200.0,200,23.301031
150.0,151,24.37441
134.0,135,24.710971
140.0,141,25.025077
104.0,105,25.253365
116.0,117,25.517332
200.0,200,25.989321
142.0,143,26.316695
162.0,163,26.679555
200.0,200,27.120518
168.0,169,27.491726
200.0,200,27.949621
200.0,200,28.390198
200.0,200,28.856913
200.0,200,29.298684
200.0,200,29.741995
200.0,200,30.19591
200.0,200,30.705287
200.0,200,31.151992
200.0,200,32.250295
200.0,200,32.735434
200.0,200,33.387075
200.0,200,33.926377
200.0,200,34.413508
200.0,200,34.90624
200.0,200,35.361939
192.0,193,35.799841
200.0,200,36.253471
200.0,200,36.697783
200.0,200,37.160148
200.0,200,37.627379
200.0,200,38.089153
200.0,200,38.532895
200.0,200,38.984714
200.0,200,40.111566
200.0,200,40.559941
200.0,200,40.99677
200.0,200,41.442813
200.0,200,41.895297
200.0,200,42.342463
200.0,200,42.802972
200.0,200,43.240379
200.0,200,43.692749
200.0,200,44.149371
200.0,200,44.591473
200.0,200,45.046062
200.0,200,45.490805
200.0,200,45.928624
200.0,200,46.40193
200.0,200,46.8427
200.0,200,47.918438
200.0,200,48.356078
200.0,200,48.824073
200.0,200,49.289123
200.0,200,49.786204
200.0,200,50.255523
200.0,200,50.710816
200.0,200,51.170496
200.0,200,51.611016
149.0,150,51.948767
118.0,119,52.216039
67.0,68,52.37332
49.0,50,52.510579
70.0,71,52.67451
52.0,53,52.794932
47.0,48,52.901603
44.0,45,53.001601
47.0,48,53.108553
55.0,56,53.253005
54.0,55,53.384945
46.0,47,53.492289
61.0,62,53.6299
36.0,37,53.721644
61.0,62,53.867503
47.0,48,53.976846
34.0,35,54.0533
47.0,48,54.167261
56.0,57,54.302488
32.0,33,54.383062
31.0,32,54.454698
31.0,32,54.53215
48.0,49,54.641849
28.0,29,54.710791
27.0,28,54.773818
32.0,33,54.855967
36.0,37,55.126526
53.0,54,55.275388
29.0,30,55.365815
48.0,49,55.501992
34.0,35,55.590895
34.0,35,55.679315
39.0,40,55.772402
39.0,40,55.866103
34.0,35,55.94677
31.0,32,56.020128
35.0,36,56.102859
37.0,38,56.186983
39.0,40,56.275826
37.0,38,56.353599
25.0,26,56.418011
41.0,42,56.511058
40.0,41,56.602531
38.0,39,56.690521
39.0,40,56.778121
23.0,24,56.82905
35.0,36,56.910207
49.0,50,57.023441
36.0,37,57.104262
19.0,20,57.147809
59.0,60,57.28713
29.0,30,57.359236
27.0,28,57.437551
24.0,25,57.489888
23.0,24,57.552837
26.0,27,57.611112
38.0,39,57.70265
38.0,39,57.799099
48.0,49,57.918209
32.0,33,57.990251
49.0,50,58.106767
35.0,36,58.191167
29.0,30,58.263713
36.0,37,58.353174
37.0,38,58.431551
32.0,33,58.510572
62.0,63,58.659476
77.0,78,58.831421
76.0,77,59.019943
