#{"t_start": 1684149100.8272457, "env_id": "FoRLCartPoleRandomNormal-v0"}
r,l,t
24.0,24,0.081646
30.0,31,0.184909
43.0,44,0.297958
15.0,16,0.333967
26.0,27,0.402642
47.0,48,0.50974
16.0,17,0.551166
12.0,13,0.581339
25.0,26,0.638218
20.0,21,0.696597
44.0,45,0.810308
22.0,23,0.864466
20.0,21,0.920476
54.0,55,1.053362
28.0,29,1.122812
18.0,19,1.167563
51.0,52,1.289586
58.0,59,1.422944
33.0,34,1.502467
148.0,149,1.849796
81.0,82,2.034211
57.0,58,2.166646
200.0,200,2.655946
125.0,126,2.970182
200.0,200,3.443716
178.0,179,3.876407
106.0,107,4.116441
200.0,200,4.55938
200.0,200,5.026062
200.0,200,5.475029
200.0,200,5.92225
200.0,200,6.399943
200.0,200,6.854381
200.0,200,7.298815
200.0,200,8.512981
200.0,200,8.976536
200.0,200,9.435982
200.0,200,9.920701
200.0,200,10.360257
199.0,200,10.80292
200.0,200,11.255428
200.0,200,11.764433
200.0,200,12.266302
200.0,200,12.72432
192.0,193,13.176643
146.0,147,13.507324
200.0,200,13.951292
200.0,200,14.453641
200.0,200,14.917836
200.0,200,15.372812
200.0,200,16.483913
200.0,200,16.93686
200.0,200,17.38997
200.0,200,17.85372
200.0,200,18.289319
200.0,200,18.765404
200.0,200,19.224679
200.0,200,19.697512
200.0,200,20.252103
200.0,200,20.733228
200.0,200,21.215541
200.0,200,21.682822
200.0,200,22.132751
200.0,200,22.579994
200.0,200,23.045036
200.0,200,24.211849
157.0,158,24.606814
141.0,142,24.934821
54.0,55,25.052249
161.0,162,25.419961
157.0,158,25.788758
200.0,200,26.248968
200.0,200,26.695702
200.0,200,27.133322
200.0,200,27.576996
200.0,200,28.035043
200.0,200,28.479999
200.0,200,28.945482
200.0,200,29.383468
200.0,200,29.832295
200.0,200,30.327396
200.0,200,30.791985
200.0,200,31.861715
200.0,200,32.333996
200.0,200,32.828168
200.0,200,33.502881
200.0,200,34.025353
200.0,200,34.503868
200.0,200,34.995845
200.0,200,35.449662
200.0,200,35.897892
200.0,200,36.35359
200.0,200,36.799467
