#{"t_start": 1684149100.824452, "env_id": "FoRLCartPoleRandomNormal-v0"}
r,l,t
15.0,15,0.060186
20.0,21,0.13908
33.0,34,0.224619
50.0,51,0.357535
6.0,7,0.371771
47.0,48,0.485913
19.0,20,0.527723
38.0,39,0.615793
20.0,21,0.673975
24.0,25,0.73056
17.0,18,0.778856
9.0,10,0.804583
29.0,30,0.87827
73.0,74,1.058475
45.0,46,1.170223
57.0,58,1.306215
75.0,76,1.47395
52.0,53,1.600359
26.0,27,1.660488
29.0,30,1.737454
43.0,44,1.839802
75.0,76,2.009467
66.0,67,2.160255
145.0,146,2.493222
200.0,200,3.014601
199.0,200,3.494984
169.0,170,3.903405
158.0,159,4.255327
200.0,200,4.698889
178.0,179,5.118974
200.0,200,5.558734
200.0,200,6.017479
200.0,200,6.491094
200.0,200,6.944916
200.0,200,8.0666
200.0,200,8.611549
200.0,200,9.066638
200.0,200,9.527543
200.0,200,10.00602
200.0,200,10.449918
200.0,200,10.897801
200.0,200,11.347363
200.0,200,11.871952
200.0,200,12.359738
200.0,200,12.816199
200.0,200,13.274812
141.0,142,13.605949
200.0,200,14.04926
200.0,200,14.553774
200.0,200,15.015246
200.0,200,16.107825
200.0,200,16.587619
183.0,184,17.000408
200.0,200,17.451444
200.0,200,17.910309
200.0,200,18.352794
200.0,200,18.821733
200.0,200,19.285659
200.0,200,19.765309
200.0,200,20.317165
200.0,200,20.791797
179.0,180,21.2335
200.0,200,21.697833
200.0,200,22.146192
200.0,200,22.595169
200.0,200,23.058618
200.0,200,24.225622
107.0,108,24.503927
195.0,196,24.955457
140.0,141,25.265936
144.0,145,25.589078
170.0,171,26.001921
140.0,141,26.329005
200.0,200,26.771294
192.0,193,27.195185
172.0,173,27.576321
200.0,200,28.035132
200.0,200,28.480138
200.0,200,28.945665
200.0,200,29.383677
200.0,200,29.832449
200.0,200,30.32645
200.0,200,30.791911
200.0,200,31.860941
200.0,200,32.334204
200.0,200,32.828237
200.0,200,33.500647
200.0,200,34.023642
200.0,200,34.503907
200.0,200,34.995153
200.0,200,35.449754
200.0,200,35.895792
200.0,200,36.353826
200.0,200,36.799628
200.0,200,37.262171
200.0,200,37.733908
200.0,200,38.184338
200.0,200,38.634781
200.0,200,39.08809
200.0,200,40.213087
200.0,200,40.653971
200.0,200,41.094007
200.0,200,41.538668
200.0,200,41.995106
200.0,200,42.442063
200.0,200,42.902336
200.0,200,43.338209
200.0,200,43.796622
200.0,200,44.250228
200.0,200,44.693915
200.0,200,45.140437
200.0,200,45.585109
200.0,200,46.033359
200.0,200,46.49912
200.0,200,46.938667
200.0,200,48.015518
200.0,200,48.455139
200.0,200,48.924043
200.0,200,49.41237
200.0,200,49.886303
200.0,200,50.357117
200.0,200,50.811635
200.0,200,51.272407
200.0,200,51.715338
129.0,130,52.005406
119.0,120,52.273393
46.0,47,52.401483
58.0,59,52.54349
73.0,74,52.713701
54.0,55,52.839932
40.0,41,52.933064
38.0,39,53.013338
47.0,48,53.125426
38.0,39,53.217345
63.0,64,53.380502
42.0,43,53.479063
51.0,52,53.597014
39.0,40,53.693371
45.0,46,53.800025
23.0,24,53.853647
47.0,48,53.967146
37.0,38,54.04882
42.0,43,54.148942
33.0,34,54.234443
30.0,31,54.307086
54.0,55,54.437554
38.0,39,54.527703
45.0,46,54.627593
45.0,46,54.740034
38.0,39,54.832164
37.0,38,55.1039
56.0,57,55.260938
39.0,40,55.373194
58.0,59,55.538671
28.0,29,55.606902
48.0,49,55.721789
40.0,41,55.821815
32.0,33,55.899366
37.0,38,55.994133
30.0,31,56.06292
26.0,27,56.119254
34.0,35,56.197715
45.0,46,56.302216
20.0,21,56.342348
32.0,33,56.418136
26.0,27,56.482866
40.0,41,56.574218
27.0,28,56.635107
41.0,42,56.730761
32.0,33,56.801607
48.0,49,56.908463
33.0,34,56.984333
23.0,24,57.039755
32.0,33,57.115649
56.0,57,57.247018
49.0,50,57.362394
45.0,46,57.476619
30.0,31,57.551702
46.0,47,57.65972
33.0,34,57.747302
66.0,67,57.90001
39.0,40,57.996735
46.0,47,58.103516
149.0,150,58.454412
44.0,45,58.557917
30.0,31,58.626513
38.0,39,58.716146
33.0,34,58.797464
66.0,67,58.957434
97.0,98,59.181026
57.0,58,59.314545
121.0,122,59.586565
56.0,57,59.727279
98.0,99,59.941127
78.0,79,60.171871
62.0,63,60.322648
72.0,73,60.483397
113.0,114,60.758178
70.0,71,60.90939
69.0,70,61.068981
86.0,87,61.266126
190.0,191,61.685646
125.0,126,61.96082
125.0,126,62.241042
200.0,200,63.34995
125.0,126,63.628998
153.0,154,63.983361
91.0,92,64.19255
142.0,143,64.515662
145.0,146,64.872977
81.0,82,65.051709
77.0,78,65.223984
125.0,126,65.501383
110.0,111,65.750792
164.0,165,66.136985
106.0,107,66.374299
142.0,143,66.688875
124.0,125,66.980792
143.0,144,67.298326
125.0,126,67.590599
107.0,108,67.844476
136.0,137,68.146829
200.0,200,68.582595
189.0,190,69.021747
200.0,200,69.494135
200.0,200,69.946869
200.0,200,71.037429
200.0,200,71.50949
200.0,200,72.045297
200.0,200,72.562931
200.0,200,73.052329
200.0,200,73.513756
200.0,200,73.98275
200.0,200,74.424801
200.0,200,74.895715
200.0,200,75.504648
200.0,200,76.217381
200.0,200,76.811146
200.0,200,77.290958
200.0,200,77.749556
200.0,200,78.211721
200.0,200,79.312471
200.0,200,79.795437
200.0,200,80.291547
200.0,200,80.890767
200.0,200,81.381934
200.0,200,81.84033
200.0,200,82.296456
200.0,200,82.752455
200.0,200,83.231653
200.0,200,83.686008
200.0,200,84.155805
200.0,200,84.609689
200.0,200,85.078125
200.0,200,85.553165
200.0,200,86.043566
200.0,200,86.498306
200.0,200,87.623229
200.0,200,88.09423
200.0,200,88.541269
200.0,200,88.990107
200.0,200,89.431715
200.0,200,89.894785
200.0,200,90.335411
200.0,200,90.787812
200.0,200,91.245364
198.0,199,91.687353
177.0,178,92.108086
199.0,200,92.581277
200.0,200,93.032966
200.0,200,93.492898
200.0,200,93.945898
192.0,193,94.399868
180.0,181,95.375663
174.0,175,95.756048
160.0,161,96.111624
160.0,161,96.461678
151.0,152,96.817393
166.0,167,97.17462
166.0,167,97.575945
184.0,185,97.990605
200.0,200,98.434563
200.0,200,98.910884
192.0,193,99.349576
200.0,200,99.819216
200.0,200,100.26293
200.0,200,100.70057
200.0,200,101.148247
200.0,200,101.608644
200.0,200,102.06213
200.0,200,103.152828
200.0,200,103.66214
200.0,200,104.140686
200.0,200,104.607845
200.0,200,105.076643
200.0,200,105.540314
200.0,200,106.010131
200.0,200,106.452872
200.0,200,106.901081
200.0,200,107.356258
178.0,179,107.774626
200.0,200,108.238688
188.0,189,108.677648
200.0,200,109.133968
200.0,200,109.584453
200.0,200,110.04317
200.0,200,111.14193
200.0,200,111.586839
200.0,200,112.042844
200.0,200,112.522124
200.0,200,112.989056
200.0,200,113.442437
200.0,200,113.898955
200.0,200,114.358387
200.0,200,114.877242
200.0,200,115.342017
200.0,200,115.788196
200.0,200,116.245035
200.0,200,116.698628
200.0,200,117.152137
200.0,200,117.613415
200.0,200,118.767691
182.0,183,119.192003
200.0,200,119.652552
200.0,200,120.10634
200.0,200,120.555966
200.0,200,121.034421
182.0,183,121.446255
180.0,181,121.860522
149.0,150,122.205732
200.0,200,122.654647
200.0,200,123.105742
200.0,200,123.548361
200.0,200,124.049772
200.0,200,124.511225
200.0,200,124.977757
200.0,200,125.411548
200.0,200,126.501278
200.0,200,126.959597
200.0,200,127.391525
200.0,200,127.85482
200.0,200,128.315418
200.0,200,128.785355
200.0,200,129.246055
200.0,200,129.711982
200.0,200,130.151433
200.0,200,130.593055
200.0,200,131.051177
200.0,200,131.504587
200.0,200,131.945652
200.0,200,132.375647
200.0,200,132.874099
200.0,200,133.326646
200.0,200,134.421021
200.0,200,134.875697
200.0,200,135.362946
200.0,200,135.835566
200.0,200,136.317853
200.0,200,136.786804
200.0,200,137.250171
200.0,200,137.725275
200.0,200,138.186284
200.0,200,138.641566
200.0,200,139.100059
200.0,200,139.540477
200.0,200,140.030053
200.0,200,140.471346
200.0,200,140.978376
200.0,200,141.506601
200.0,200,142.653792
200.0,200,143.109443
200.0,200,143.559484
200.0,200,144.019204
200.0,200,144.490063
200.0,200,144.955822
200.0,200,145.402767
200.0,200,145.857549
200.0,200,146.299003
200.0,200,146.761743
200.0,200,147.20789
200.0,200,147.69399
200.0,200,148.154323
200.0,200,148.599133
200.0,200,149.072918
200.0,200,150.173523
200.0,200,150.621117
200.0,200,151.073708
200.0,200,151.538658
200.0,200,151.984848
200.0,200,152.433299
200.0,200,152.897176
200.0,200,153.392234
200.0,200,153.858889
200.0,200,154.317846
200.0,200,154.775169
200.0,200,155.221082
200.0,200,155.676469
200.0,200,156.143455
200.0,200,156.587103
200.0,200,157.041605
