#{"t_start": 1684149100.8164132, "env_id": "FoRLCartPoleRandomNormal-v0"}
r,l,t
34.0,34,0.127462
11.0,12,0.179022
14.0,15,0.214866
27.0,28,0.281909
27.0,28,0.352915
20.0,21,0.403184
85.0,86,0.601126
77.0,78,0.79617
38.0,39,0.895551
46.0,47,1.014637
70.0,71,1.177908
82.0,83,1.369107
111.0,112,1.621494
35.0,36,1.710571
39.0,40,1.802794
58.0,59,1.942424
200.0,200,2.395466
155.0,156,2.803983
71.0,72,2.978251
87.0,88,3.181042
114.0,115,3.455953
152.0,153,3.831616
112.0,113,4.088914
154.0,155,4.438285
200.0,200,4.892615
200.0,200,5.348558
200.0,200,5.795188
200.0,200,6.25895
200.0,200,6.727308
200.0,200,7.166353
200.0,200,8.377439
200.0,200,8.846453
200.0,200,9.307955
200.0,200,9.780582
104.0,105,10.025685
200.0,200,10.465186
186.0,187,10.882279
200.0,200,11.333944
200.0,200,11.856997
200.0,200,12.343302
182.0,183,12.764657
200.0,200,13.225358
165.0,166,13.604929
200.0,200,14.048305
149.0,150,14.441403
200.0,200,14.895328
200.0,200,15.358028
200.0,200,16.462835
200.0,200,16.923996
200.0,200,17.361623
170.0,171,17.772148
200.0,200,18.208347
200.0,200,18.664965
200.0,200,19.138556
200.0,200,19.583735
200.0,200,20.15896
200.0,200,20.647496
200.0,200,21.130824
200.0,200,21.596709
200.0,200,22.05189
200.0,200,22.495854
200.0,200,22.956242
200.0,200,24.121374
170.0,171,24.544613
155.0,156,24.912625
73.0,74,25.070894
104.0,105,25.311265
200.0,200,25.778332
189.0,190,26.20828
144.0,145,26.537677
200.0,200,26.986418
200.0,200,27.41945
200.0,200,27.869579
200.0,200,28.324277
200.0,200,28.783106
200.0,200,29.221289
200.0,200,29.675193
200.0,200,30.126084
200.0,200,30.627536
200.0,200,31.078681
200.0,200,32.174813
200.0,200,32.652851
200.0,200,33.28154
200.0,200,33.842837
200.0,200,34.327639
200.0,200,34.822875
200.0,200,35.290106
200.0,200,35.74014
200.0,200,36.186255
200.0,200,36.643554
200.0,200,37.088982
200.0,200,37.569872
200.0,200,38.029092
200.0,200,38.469712
200.0,200,38.926458
200.0,200,40.052918
